,x,open,high,low,close,volume,sup,res,sup_break,res_break,zigzag
0,2019-06-19 00:00:00,9010.0,9106.5,8965.0,9085.5,158623217.0,0.0,0.0,0,0,9085.5
1,2019-06-19 01:00:00,9085.5,9179.0,9046.0,9175.5,163861895.0,0.0,0.0,0,0,
2,2019-06-19 02:00:00,9175.5,9186.5,9146.0,9149.5,108292288.0,0.0,0.0,0,0,
3,2019-06-19 03:00:00,9149.5,9169.0,9127.5,9155.0,57369340.0,0.0,0.0,0,0,
4,2019-06-19 04:00:00,9155.0,9176.5,9141.0,9143.5,48087413.0,0.0,0.0,0,0,
5,2019-06-19 05:00:00,9143.5,9218.0,9143.5,9170.0,130894504.0,0.0,0.0,0,0,
6,2019-06-19 06:00:00,9170.0,9196.0,9156.0,9190.0,59769729.0,0.0,0.0,0,0,
7,2019-06-19 07:00:00,9190.0,9199.5,9160.0,9162.0,48542739.0,0.0,0.0,0,0,
8,2019-06-19 08:00:00,9162.0,9189.0,9144.0,9189.0,57417720.0,0.0,0.0,0,0,
9,2019-06-19 09:00:00,9189.0,9214.0,9171.5,9175.0,60224959.0,0.0,0.0,0,0,
10,2019-06-19 10:00:00,9175.0,9180.0,9104.5,9115.5,117495121.0,0.0,0.0,0,0,
11,2019-06-19 11:00:00,9115.5,9140.0,9090.0,9134.5,85401742.0,0.0,0.0,0,0,
12,2019-06-19 12:00:00,9134.5,9141.5,9106.5,9141.5,57738273.0,0.0,0.0,0,0,
13,2019-06-19 13:00:00,9141.5,9152.5,9062.0,9090.0,154715239.0,0.0,0.0,0,0,
14,2019-06-19 14:00:00,9090.0,9152.0,9045.0,9137.5,172667847.0,0.0,0.0,0,0,
15,2019-06-19 15:00:00,9137.5,9140.0,9062.0,9078.5,91245099.0,0.0,0.0,0,0,
16,2019-06-19 16:00:00,9078.5,9133.0,9053.0,9094.5,173153403.0,0.0,0.0,0,0,
17,2019-06-19 17:00:00,9094.5,9167.0,9080.0,9143.0,134007524.0,0.0,0.0,0,0,
18,2019-06-19 18:00:00,9143.0,9175.5,9130.5,9154.5,56579447.0,0.0,0.0,0,0,
19,2019-06-19 19:00:00,9154.5,9155.0,9105.0,9118.0,53143107.0,9045.0,9214.0,0,0,
20,2019-06-19 20:00:00,9118.0,9147.5,9114.0,9145.0,30617002.0,9045.0,9180.0,0,0,
21,2019-06-19 21:00:00,9145.0,9188.5,9125.5,9171.5,114258638.0,9045.0,9188.5,0,0,
22,2019-06-19 22:00:00,9171.5,9250.0,9144.0,9249.5,100957376.0,9045.0,9250.0,0,0,
23,2019-06-19 23:00:00,9249.5,9300.0,9249.5,9267.5,175661315.0,9045.0,9300.0,0,0,
24,2019-06-20 00:00:00,9267.5,9329.5,9262.0,9287.5,117574120.0,9045.0,9329.5,0,0,
25,2019-06-20 01:00:00,9287.5,9313.0,9272.0,9274.5,55375581.0,9053.0,9329.5,0,0,
26,2019-06-20 02:00:00,9274.5,9290.0,9254.5,9276.0,62522597.0,9053.0,9329.5,0,0,
27,2019-06-20 03:00:00,9276.0,9347.0,9276.0,9344.5,101680243.0,9080.0,9347.0,0,0,
28,2019-06-20 04:00:00,9344.5,9374.5,9335.5,9352.0,108633326.0,9105.0,9374.5,0,0,
29,2019-06-20 05:00:00,9352.0,9364.5,9298.0,9319.5,90282125.0,9105.0,9374.5,0,0,
30,2019-06-20 06:00:00,9319.5,9329.0,9305.0,9305.0,39725343.0,9114.0,9374.5,0,0,
31,2019-06-20 07:00:00,9305.0,9321.5,9298.5,9307.0,50148712.0,9125.5,9374.5,0,0,
32,2019-06-20 08:00:00,9307.0,9335.5,9268.0,9280.5,107784939.0,9144.0,9374.5,0,0,
33,2019-06-20 09:00:00,9280.5,9286.5,9220.5,9233.5,167320220.0,9220.5,9374.5,0,0,
34,2019-06-20 10:00:00,9233.5,9265.5,9232.0,9236.0,75000203.0,9220.5,9374.5,0,0,
35,2019-06-20 11:00:00,9236.0,9259.0,9226.0,9254.5,73111409.0,9220.5,9374.5,0,0,
36,2019-06-20 12:00:00,9254.5,9287.5,9240.0,9280.5,72792790.0,9220.5,9374.5,0,0,
