x,open,high,low,close,volume,zigzag,zup,zdn
2019-07-17 09:15:00,203.5,203.5,202.85,202.95,172275.0,202.95,0,0
2019-07-17 09:42:00,204.75,204.7,203.9,204.15,387457.0,204.7,204,0
2019-07-17 10:16:00,199.95,199.9,199.25,199.35,146327.0,199.25,0,199
2019-07-17 10:26:00,200.45,201.55,200.45,201.5,374483.0,201.55,201,0
2019-07-17 10:56:00,198.15,198.8,197.95,198.8,105329.0,197.95,0,197
2019-07-17 11:03:00,200.8,201.35,200.8,201.1,115231.0,201.35,201,0
2019-07-17 11:32:00,196.2,196.35,195.4,196.15,552636.0,195.4,0,195
2019-07-17 11:39:00,197.2,197.5,196.9,197.1,162301.0,197.5,197,0
2019-07-17 11:46:00,194.45,194.9,192.5,193.5,1222225.0,192.5,0,192
2019-07-17 11:53:00,197.25,197.9,196.1,196.25,568208.0,197.9,197,0
2019-07-17 12:02:00,195.75,195.85,194.75,194.8,199063.0,194.75,0,194
2019-07-17 12:10:00,197.45,198.1,197.3,198.0,307524.0,198.1,198,0
2019-07-17 12:17:00,196.8,196.8,196.05,196.15,316051.0,196.05,0,196
2019-07-17 12:49:00,202.5,204.25,202.55,203.25,285481.0,204.25,204,0
2019-07-17 12:56:00,202.4,202.45,202.1,202.4,25620.0,202.1,0,202
2019-07-17 13:03:00,204.0,204.9,204.0,204.45,450285.0,204.9,204,0
2019-07-17 13:12:00,201.85,201.95,201.1,201.8,228093.0,201.1,0,201
2019-07-17 14:28:00,208.6,211.75,208.55,210.05,1330222.0,211.75,211,0
2019-07-17 14:41:00,208.8,208.85,207.45,208.05,1335424.0,207.45,0,207
2019-07-17 14:50:00,209.8,213.85,209.8,212.7,1223084.0,213.85,213,0
2019-07-17 14:54:00,211.5,211.6,210.85,211.45,306249.0,210.85,0,210
2019-07-17 15:00:00,213.5,213.85,212.35,212.6,363073.0,213.85,213,0
2019-07-17 15:05:00,211.25,211.35,210.5,210.55,276915.0,210.5,0,210
2019-07-17 15:29:00,215.8,216.35,215.4,215.75,375926.0,216.35,216,0
2019-07-17 15:51:00,212.9,212.85,211.95,212.15,302185.0,211.95,0,211
2019-07-17 15:58:00,213.0,214.8,213.0,214.15,296929.0,214.8,214,0
2019-07-17 16:01:00,213.55,213.55,212.45,212.5,90926.0,212.45,0,212
2019-07-17 16:08:00,218.65,219.5,218.55,218.75,341680.0,219.5,219,0
2019-07-17 16:18:00,214.85,215.0,214.4,214.6,287878.0,214.4,0,214
2019-07-17 16:29:00,218.4,218.5,217.4,217.4,322953.0,218.5,218,0
2019-07-17 16:40:00,215.5,216.05,215.1,216.05,463663.0,215.1,0,215
2019-07-17 16:49:00,217.0,217.3,216.45,216.65,182349.0,217.3,217,0
2019-07-17 17:06:00,213.15,213.1,211.7,211.85,411157.0,211.7,0,211
2019-07-17 17:33:00,217.9,219.25,217.7,219.25,260020.0,219.25,219,0
2019-07-17 01:27:00,199.35,199.4,198.9,199.1,136060.0,198.9,0,198
2019-07-17 01:55:00,200.6,201.15,200.65,201.15,49761.0,201.15,201,0
2019-07-17 02:09:00,196.95,196.95,193.95,196.15,635532.0,193.95,0,193
2019-07-17 02:10:00,196.15,196.45,194.5,196.15,484874.0,196.45,196,0
2019-07-17 02:12:00,195.75,195.85,193.95,194.6,583138.0,193.95,0,193
2019-07-17 02:35:00,198.2,198.25,197.7,197.8,103129.0,198.25,198,0
2019-07-17 02:49:00,194.95,195.95,194.55,195.95,146389.0,194.55,0,194
2019-07-17 03:21:00,199.9,199.95,199.0,199.0,119555.0,199.95,199,0
2019-07-17 04:15:00,197.15,197.45,196.75,196.95,171493.0,196.75,0,196
2019-07-17 04:47:00,200.05,200.85,200.0,200.4,327683.0,200.85,200,0
2019-07-17 04:57:00,198.55,198.6,198.2,198.25,15343.0,198.2,0,198
2019-07-17 05:41:00,201.65,203.0,201.65,202.45,966112.0,203.0,203,0
2019-07-17 07:14:00,200.45,200.5,200.3,200.4,93333.0,200.3,0,200
2019-07-17 08:10:00,205.85,206.15,205.75,205.8,246977.0,206.15,206,0
2019-07-17 08:42:00,203.3,203.85,203.05,203.85,136997.0,203.05,0,203
2019-07-17 08:45:00,205.35,205.75,205.15,205.15,238529.0,205.75,205,0
2019-07-17 08:58:00,204.25,204.25,203.15,203.3,184165.0,203.15,0,203
2019-07-16 16:39:00,208.7,211.0,208.65,210.65,603196.0,211.0,211,0
2019-07-16 16:48:00,207.05,207.4,205.3,207.2,943954.0,205.3,0,205
2019-07-16 16:54:00,207.0,207.95,206.95,207.0,608099.0,207.95,207,0
2019-07-16 17:06:00,192.0,192.1,190.0,190.65,2538754.0,190.0,0,190
2019-07-16 17:13:00,195.3,201.0,195.5,199.0,1925041.0,201.0,201,0
2019-07-16 17:22:00,196.75,196.9,194.35,195.65,872791.0,194.35,0,194
2019-07-16 17:27:00,198.25,199.7,198.2,199.15,442553.0,199.7,199,0
2019-07-16 17:30:00,197.55,199.0,197.4,198.95,443289.0,197.4,0,197
2019-07-16 17:32:00,199.6,199.9,198.65,199.0,320061.0,199.9,199,0
2019-07-16 17:41:00,196.25,196.6,194.45,194.75,783893.0,194.45,0,194
2019-07-16 18:03:00,202.0,202.1,201.15,201.55,620533.0,202.1,202,0
2019-07-16 18:19:00,199.4,199.9,198.9,199.7,366087.0,198.9,0,198
2019-07-16 18:26:00,201.0,201.5,200.75,201.15,46709.0,201.5,201,0
2019-07-16 18:37:00,198.3,198.3,197.35,197.8,269347.0,197.35,0,197
2019-07-16 18:45:00,199.25,200.3,199.3,200.25,103024.0,200.3,200,0
2019-07-16 18:54:00,198.75,198.95,197.25,197.4,307566.0,197.25,0,197
2019-07-16 19:24:00,200.55,200.95,200.55,200.7,54349.0,200.95,200,0
2019-07-16 19:34:00,199.55,199.55,198.6,198.8,213198.0,198.6,0,198
2019-07-16 20:00:00,203.85,204.6,203.9,204.35,349246.0,204.6,204,0
2019-07-16 20:06:00,203.0,203.0,202.5,202.55,249532.0,202.5,0,202
2019-07-16 20:41:00,207.2,207.75,206.75,206.85,305356.0,207.75,207,0
2019-07-16 20:55:00,204.3,204.25,203.15,203.45,394146.0,203.15,0,203
2019-07-16 20:58:00,204.8,205.2,204.2,204.4,274352.0,205.2,205,0
2019-07-16 21:03:00,199.0,200.55,198.15,200.4,828031.0,198.15,0,198
2019-07-16 21:18:00,205.45,206.15,205.3,205.55,547957.0,206.15,206,0
2019-07-16 21:37:00,203.25,203.25,202.3,203.1,641018.0,202.3,0,202
2019-07-16 21:49:00,206.05,206.5,205.95,205.95,147785.0,206.5,206,0
2019-07-16 22:08:00,202.5,202.55,201.1,201.45,166348.0,201.1,0,201
2019-07-16 22:15:00,203.3,203.6,203.25,203.25,38165.0,203.6,203,0
2019-07-16 22:36:00,199.8,200.1,198.75,199.05,322062.0,198.75,0,198
2019-07-16 22:40:00,201.8,202.2,201.65,201.9,201369.0,202.2,202,0
2019-07-16 22:47:00,200.2,200.2,199.45,199.9,39635.0,199.45,0,199
2019-07-16 22:52:00,200.45,201.5,200.45,200.9,78024.0,201.5,201,0
2019-07-16 22:57:00,199.5,199.6,199.1,199.1,156261.0,199.1,0,199
2019-07-16 22:59:00,200.15,201.45,200.1,201.45,213255.0,201.45,201,0
2019-07-16 23:06:00,196.75,197.0,195.3,196.75,537388.0,195.3,0,195
2019-07-16 23:08:00,197.35,197.85,197.15,197.15,236758.0,197.85,197,0
2019-07-16 23:10:00,196.4,196.45,195.85,196.45,180620.0,195.85,0,195
2019-07-16 23:12:00,197.05,198.05,197.1,198.0,133321.0,198.05,198,0
2019-07-16 23:16:00,196.5,196.9,195.6,196.9,175994.0,195.6,0,195
2019-07-16 23:24:00,199.1,199.25,198.2,198.5,285792.0,199.25,199,0
2019-07-16 23:31:00,197.6,197.75,197.15,197.75,222900.0,197.15,0,197
2019-07-16 23:47:00,201.0,201.2,200.85,200.85,62044.0,201.2,201,0
2019-07-16 23:59:00,198.4,198.85,198.05,198.05,44306.0,198.05,0,198
2019-07-17 00:05:00,200.55,201.45,200.5,201.2,272493.0,201.45,201,0
2019-07-17 00:08:00,200.2,200.25,199.4,199.65,154680.0,199.4,0,199
2019-07-17 00:39:00,202.6,203.15,202.55,202.65,105062.0,203.15,203,0
2019-07-17 00:50:00,200.95,200.95,200.7,200.75,26021.0,200.7,0,200
2019-07-16 09:04:00,229.3,229.45,229.3,229.4,16577.0,229.45,229,0
